Contracting Party,Treaty,Signature Date,Instrument Type,Instrument Date,Entry Into Force Date
Afghanistan,Marrakesh,2013-06-28, , , 
Albania,Berne,,Accession,1993-12-02,1994-03-06
Albania,Phonograms, ,Accession,2001-03-26,2001-06-26
Albania,Rome, ,Accession,2000-06-01,2000-09-01
Albania,WCT, ,Accession,2005-05-06,2005-08-06
Albania,WPPT,,Accession,2001-05-17,2002-05-20
Algeria,Berne,,Accession,1998-01-19,1998-04-19
Algeria,Rome, ,Accession,2007-01-22,2007-04-22
Algeria,WCT, ,Accession,2013-10-31,2014-01-31
Algeria,WPPT,,Accession,2013-10-31,2014-01-31
Andorra,Berne,,Accession,2004-03-02,2004-06-02
Andorra,Rome, ,Accession,2004-02-25,2004-05-25
Antigua and Barbuda,Berne,,Accession,1999-12-17,2000-03-17
Argentina,Berne,,Accession,1967-05-05,1967-06-10
Argentina,Brussels,1975-03-26, , , 
Argentina,Marrakesh,2014-05-21,Ratification,2015-04-01, 
Argentina,Phonograms, ,Accession,1973-03-19,1973-06-30
Argentina,Rome,1961-10-26,Ratification,1991-12-02,1992-03-02
Argentina,WCT,1997-09-18,Ratification,1999-11-19,2002-03-06
Argentina,WPPT,1997-09-18,Ratification,1999-11-19,2002-05-20
Armenia,Berne,,Accession,2000-07-19,2000-10-19
Armenia,Brussels, ,Accession,1993-09-13,1993-12-13
Armenia,Phonograms, ,Accession,2002-10-31,2003-01-31
Armenia,Rome, ,Accession,2002-10-31,2003-01-31
Armenia,WCT, ,Accession,2004-12-06,2005-03-06
Armenia,WPPT,,Accession,2004-12-06,2005-03-06
Australia,Berne,,Declaration of Continued Application,1928-04-14,1928-04-14
Australia,Brussels, ,Accession,1990-07-26,1990-10-26
Australia,Marrakesh,2014-06-23, , , 
Australia,Phonograms, ,Accession,1974-03-12,1974-06-22
Australia,Rome, ,Accession,1992-06-30,1992-09-30
Australia,WCT, ,Accession,2007-04-26,2007-07-26
Australia,WPPT,,Accession,2007-04-26,2007-07-26
Austria,Beijing,2013-06-19, , , 
Austria,Berne,,Accession,1920-09-11,1920-10-01
Austria,Brussels,1975-03-26,Ratification,1982-05-06,1982-08-06
Austria,Marrakesh,2014-06-25, , , 
Austria,Phonograms,1972-04-28,Ratification,1982-05-06,1982-08-21
Austria,Rome,1961-10-26,Ratification,1973-03-09,1973-06-09
Austria,WCT,1997-12-30,Ratification,2009-12-14,2010-03-14
Austria,WPPT,1997-12-30,Ratification,2009-12-14,2010-03-14
Azerbaijan,Berne,,Accession,1999-03-04,1999-06-04
Azerbaijan,Phonograms, ,Accession,2001-06-01,2001-09-01
Azerbaijan,Rome, ,Accession,2005-07-05,2005-10-05
Azerbaijan,WCT, ,Accession,2006-01-11,2006-04-11
Azerbaijan,WPPT,,Accession,2006-01-11,2006-04-11
Bahamas,Berne,,Declaration of Continued Application,1976-07-05,1973-07-10
Bahrain,Berne,,Accession,1996-11-29,1997-03-02
Bahrain,Brussels, ,Accession,2007-02-01,2007-05-01
Bahrain,Rome, ,Accession,2005-10-18,2006-01-18
Bahrain,WCT, ,Accession,2005-09-15,2005-12-15
Bahrain,WPPT,,Accession,2005-09-15,2005-12-15
Bangladesh,Berne,,Accession,1999-02-04,1999-05-04
Barbados,Berne,,Accession,1983-03-16,1983-07-30
Barbados,Phonograms, ,Accession,1983-03-23,1983-07-29
Barbados,Rome, ,Accession,1983-06-18,1983-09-18
Belarus,Berne,,Accession,1997-09-12,1997-12-12
Belarus,Phonograms, ,Accession,2003-01-17,2003-04-17
Belarus,Rome, ,Accession,2003-02-27,2003-05-27
Belarus,WCT,1997-12-08,Ratification,1998-07-15,2002-03-06
Belarus,WPPT,1997-12-08,Ratification,1998-07-15,2002-05-20
Belgium,Beijing,2013-05-08, , , 
Belgium,Berne,1886-09-09,Ratification,1887-09-05,1887-12-05
Belgium,Brussels,1974-05-21, , , 
Belgium,Marrakesh,2014-06-25, , , 
Belgium,Rome,1961-10-26,Ratification,1999-07-02,1999-10-02
Belgium,WCT,1997-02-19,Ratification,2006-05-30,2006-08-30
Belgium,WPPT,1997-02-19,Ratification,2006-05-30,2006-08-30
Belize,Berne,,Accession,2000-03-17,2000-06-17
Benin,Berne,,Declaration of Continued Application,1961-01-03,1960-08-01
Benin,WCT, ,Accession,2006-01-16,2006-04-16
