Member Name,Berne - Signature Date,Berne - Instrument Type,Berne - Instrument Date,Berne - Into Force Date,WCT - Signature Date,WCT - Instrument,WCT - Instrument Date,WCT - In Force Date,WPPT - Signature Date,WPPT - Instrument Type,WPPT - Instrument Date,WPPT - In Force Date,MVIP - Signature,MVIP - Instrument Type,MVIP - Instrument Date,MVIP - In Force Date,BAP - Signature Date,BAP - Instrument Type,BAP - Instrument Date,BAP - In Force Date,Phonographs - Signature Date,Phonographs - Instrument Date,Phonographs - Instrument Date,Phonographs - In Force Date,Rome - Signature Date,Rome - Instrument Type,Rome - Instrument Date,Rome - In Force Date
Albania,,Accession,1993-12-02,1994-03-06, ,Accession,2005-05-06,2005-08-06,,Accession,2001-05-17,2002-05-20,,,,,,,,, ,Accession,2001-03-26,2001-06-26, ,Accession,2000-06-01,2000-09-01
Algeria,,Accession,1998-01-19,1998-04-19, ,Accession,2013-10-31,2014-01-31,,Accession,2013-10-31,2014-01-31,,,,,,,,,,,,, ,Accession,2007-01-22,2007-04-22
Andorra,,Accession,2004-03-02,2004-06-02,,,,,,,,,,,,,,,,,,,,, ,Accession,2004-02-25,2004-05-25
Antigua and Barbuda,,Accession,1999-12-17,2000-03-17,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,Accession,1967-05-05,1967-06-10,1997-09-18,Ratification,1999-11-19,2002-03-06,1997-09-18,Ratification,1999-11-19,2002-05-20,2014-05-21, , , ,,,,, ,Accession,1973-03-19,1973-06-30,1961-10-26,Ratification,1991-12-02,1992-03-02
Armenia,,Accession,2000-07-19,2000-10-19, ,Accession,2004-12-06,2005-03-06,,Accession,2004-12-06,2005-03-06,,,,,,,,, ,Accession,2002-10-31,2003-01-31, ,Accession,2002-10-31,2003-01-31
Australia,,Declaration of Continued Application,1928-04-14,1928-04-14, ,Accession,2007-04-26,2007-07-26,,Accession,2007-04-26,2007-07-26,2014-06-23, , , ,,,,, ,Accession,1974-03-12,1974-06-22, ,Accession,1992-06-30,1992-09-30
Austria,,Accession,1920-09-11,1920-10-01,1997-12-30,Ratification,2009-12-14,2010-03-14,1997-12-30,Ratification,2009-12-14,2010-03-14,2014-06-25, , , ,2013-06-19, , , ,1972-04-28,Ratification,1982-05-06,1982-08-21,1961-10-26,Ratification,1973-03-09,1973-06-09
Azerbaijan,,Accession,1999-03-04,1999-06-04, ,Accession,2006-01-11,2006-04-11,,Accession,2006-01-11,2006-04-11,,,,,,,,, ,Accession,2001-06-01,2001-09-01, ,Accession,2005-07-05,2005-10-05
Bahamas,,Declaration of Continued Application,1976-07-05,1973-07-10,,,,,,,,,,,,,,,,,,,,,,,,
